Time,Text
0:01,post 2010 this is going to be the decade of e-commerce
0:01,post 2010 this is going to be the decade of e-commerce
0:07,Ben Pandey runs a traditional Eatery in the city of Mumbai
0:13,Mr Pandey wants to improve his income by listing it in platforms like zwigy and
0:19,somato he thought this will fix his fortune but he gets dejected
0:25,both platforms rejected his application a budding data professional decides to
0:33,step up and help his Uncle Ben Pandey Peter is a go-gadget he sat on a mission
0:42,he decides to build a chat board for his Uncle Ben's Eatery
0:48,in fact he succeeded in building one the first small step towards a giant lead
0:56,[Music]
1:06,thank you I am going to take you along Peter's journey of building this chatbot
1:12,step by step we will first configure our chatbot in dialogflow then we will write
1:17,a back-end server in Python using fast API web serving framework this will
1:23,interact with mySQL database so we will be placing orders retrieving order information from this database and once
1:31,all of this is done we will integrate this chatbot to our food website this
1:37,will be truly end-to-end project which will not only help you learn a lot of
1:42,diverse skills required in building a chat board it will also give you a solid
1:48,project that you can put on your resume first on your emails and get ready for the ride review the problem statement
1:56,we have this food website Pandey fresh and delicious foods and here if someone
2:02,comes on the website it will show all the items so right now it is selling
2:07,only nine items these are all yummy items chole Samosa mango let's see and so on and a person can get an idea on
2:15,the price location they can even call to inquire but they don't have any technology as such and what we want to
2:23,do is we want to build a chatbot and integrate it on this particular website
2:29,so that you know the chatbot appears on the bottom right and a person can say
2:36,New Order or track order so now let's say if I'm saying new order it will show me all the items which are available and
2:43,I can then say give me two bav bhaji one pizza all the junk food and it will kind
2:50,of review whatever you have added in the cards so far then you can add let's say
2:56,one mango let's see you can even remove an item you can say well you know these
3:01,are too much uh I want to remove let's say pizza in the chat Port you look at
3:06,it chatbot is smart it is remembering the context and it is having this list where you can add items and remove items
3:14,eventually when you say that's it it knows that you're completing an order
3:19,and it will say okay we have placed your order this is the bill and so on so we are going to implement this and this
3:26,will insert a record through our backend in our mySQL database and it will handle all this conversation I am calling this
3:33,a Mira chatbot you know all these companies have fancy names Ino Julie uh
3:40,Alexa all these chatbot names I came up with this name Mira uh so Meera will be
3:45,the chatbot that we are going to build now you can have a different scenario where a person might say I want to track
3:52,an existing order after placing an order what happens is in the kitchen Chef will
3:57,prepare it then it will be delivered so here see order number 41 is in transit
4:02,meaning order has started from the restaurant and it is on the way previously it was uh in progress the
4:10,previous order so it can give you all that status when you say okay Pani Puri
4:15,I did not understand it will tell you that we do not support these items we can only order from all these nine items
4:22,so it will have all these uh fancy features okay so first thing we are doing now is we are scoping down our
4:30,work when I worked in Industry at Bloomberg and Nvidia business managers would come up with big projects and they
4:37,will have so many features that they would want to implement but when you start any project in the first phase you
4:43,don't Implement all the features you have to scope it down so here is a huge
4:49,list of requirement you come up with the initial set of features that you're going to implement and this is called
4:56,scoping your work okay in our case we have variety of features when it comes
5:03,to New Order one can place a new order you can also support paying through a
5:09,chatbot for that order the example that I showed you previously in the chatbot it was cash on delivery but you know a
5:15,business user will say okay why don't you support credit card or debit card payment in your chatbot you can also
5:22,have tracking features you can track by order ID Track by phone number Track by customer name you can have other
5:28,features as well such as offers and store hours and so on now you will
5:35,review these features with business by you I mean the data scientists or ml
5:40,Engineers who are working on this project so there will be engineering team or data scientist team there are a
5:45,business team they will have conversation they will do negotiation they will say hey this feature will take one month this feature will take five
5:52,days uh which one you want to pick and business will come up with their most desired items okay so they will say Okay
6:00,I want to implement these two items placing a new order and tracking the order and that decision is dependent on
6:08,two factors one is how important is that feature second thing is feasibility uh
6:13,there is a term called feasibility impact analysis let's say this feature is very important supporting payment through a chatbot business will say yes
6:20,this is very important but data scientists will say well it will take two months then that feature has a high
6:26,impact but low visibility on the other hand you can have a feature which is very high feasibility but low
6:34,impact for example store hours implementing store hours is a piece of cake you can implement it in half a day maybe
6:42,but it doesn't have too much impact okay so you want to Target those features
6:48,which has high impact high visibility and after a closed room discussion
6:53,between business stakeholders and data scientists they decided these are the two features which we should Implement
7:00,in our first round so what we had initially was all these
7:06,features if you put it in a flat vertical list this is called your backlog
7:11,folks when you're preparing for data science or NLP career make sure you
7:17,don't learn only technical things you need to understand the fundamentals behind project management agile
7:23,methodology stakeholder management and so on backlog is a popular term when it comes
7:30,to Agile way of building projects backlog is nothing but all your wish list all the feature you want to build
7:36,then after you had that discussion which I already talked about you came up with
7:41,these two features and they are called MVP minimum viable product which is your
7:48,phase one in phase one I want these two features and you can use tools such as jira notion Asana
7:56,etc for doing this kind of project management right now I just showed you all this in my slide but when I was at
8:02,Bloomberg we were using jira there are companies which is using a notion for
8:08,example in my own company right now we use notion as a project management tool I have used Asana as well these are all
8:14,awesome tools and they help you more manage your project they help you define your backlog your MVP and so on and then
8:22,once your MVP is defined your data science team will work only on these two they will not look at all these they
8:28,will keep this in mind because these features they will Implement in phase two phase three and so on but their
8:34,immediate Target is these two features once these two features are out now you will have minimum viable product which
8:42,is your first version which you can deploy you can test with users users
8:47,will give you some feedback after the feedback some of your backlog items will change because business is dynamic it's
8:54,always changing it's not like okay my manager told me to implement this 10 feature and I will keep on implementing
9:00,this for next one yet no as you deploy a MVP in production your current backlog
9:05,will change based on the feedback you're getting from People based on changing demands from the business so in phase
9:12,two then you can pull some more features from backlog so you'll continue adding
9:17,or deleting items from backlog and you will pull the features from backlog to here okay so read online about agile
9:25,methodologies scrum way of doing project development there is a great website called scrumtraining series.com if you
9:32,want to learn about scrum all right so now we have these two features that we
9:37,are going to implement in this particular video so in throughout the video we are building this particular MVP so now let's think about solution
9:44,design and architecture when you get a project and when you have a scope of work clearly defined see so far we have
9:51,clearly defined scope of work I want to build a chatbot put it on my website
9:56,chatbot should support two features placing a new order and tracking order bet order ID as a data science team you
10:03,know exactly what you're building now comes the phase where you will Define the technical architecture or the
10:09,solution usually in the companies uh when I was working in an industry and even in my company what we do is we get
10:16,together in a conference room and there will be team of data scientists who will
10:21,brainstorm the solution uh let's say if you call a student if you're learning or even if you're working as a data
10:27,scientist you have a great consultant right now who is available to you for
10:32,free all the time and that consultant is chat Deputy yes chat GPT can give you a
10:39,complete solution design here I am saying I have a fast food business I want to build this our chatbot and I
10:46,want two features New Order and track order okay chat GPT will give you a
10:52,complete design step by step and the suggestion that it is giving is actually pretty good okay it's not like bluffing
11:00,so it is saying you need to First use dialog flow it's a NLP platform
11:06,it will understand input and generate responses then you need to use node.js
11:12,for backend you can have MySQL as a database uh you can use express.js as an
11:19,interface and web interface okay it is giving you one possible solution that you can use in our case we are not going
11:26,to use node.js Etc because we like Python and we would like to do this in
11:32,Python and fast API uh so we will use that but in chat GPT I'm pretty sure if
11:37,you say I don't want to use node.js I want to use Python show me an alternative approach it will tell you
11:44,that particular Pro so I would say let's try it out okay so while you're watching the video maybe pause it and just try it
11:50,out and see the solution steps it has given it's pretty darn amazing okay
11:57,once you get all these steps you can also say can you tell me step by step
12:02,process of implementing this in dialog flow because dialog flow is just one component so then it will say okay these
12:09,are the steps and by the way don't worry about these steps I'm just showing to you so that tomorrow if you work on any
12:14,NLP or machine learning project you can use chat GPT or to come up with all
12:20,these steps and it will tell you okay Define intent Define fulfillment and so on so let's go over this process step by
12:27,step first thing we did is we Define scope of work we had new order tracking
12:33,order billing query store hours and we said we'll Implement only two things New Order and tracking order second one is
